customer_id,order_id,order_date,product_category,product_name,region,quantity,unit_price,revenue,year,month,month_name,segment
CUST161762,ORD0046891,2022-07-17,Home Appliances,Laptop,Ibadan,3,223671,671013,2022,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,High
CUST131566,ORD0057029,2024-07-28,Office Supplies,Desk,Abuja,1,232448,232448,2024,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,Mid
CUST193957,ORD0094321,2025-04-06,Electronics,Smartphone,Port Harcourt,4,120490,481960,2025,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,High
CUST248657,ORD0043512,2021-02-09,Office Supplies,Smartphone,Port Harcourt,3,214452,643356,2021,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,VIP
CUST182030,ORD0085561,2021-09-14,Office Supplies,Laptop,Port Harcourt,3,188400,565200,2021,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,High
CUST292689,ORD0087480,2022-07-24,Home Appliances,Sneakers,Rivers,3,111463,334389,2022,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,VIP
CUST295520,ORD0079682,2021-09-11,Electronics,Laptop,Port Harcourt,4,179869,719476,2021,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,VIP
CUST169481,ORD0067246,2022-06-10,Electronics,Smartphone,Kano,2,122274,244548,2022,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,Mid
CUST090090,ORD0088226,2023-11-06,Fashion,Printer,Abuja,1,11206,11206,2023,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,Low
CUST085642,ORD0034541,2025-06-04,Electronics,Printer,Ibadan,5,77362,386810,2025,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x000001F3106A2900>>,VIP
